DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-05-16,51.25,47.555555555555564,51.111111111111114,49.5,52.0,44.5,50.46049119906808
2016-05-17,53.0,40.22222222222222,49.33333333333334,45.5,52.0,42.833333333333336,48.954908720233206
2016-05-18,56.0,50.33333333333334,57.33333333333334,54.0,56.0,50.85714285714285,55.70658894347248
2016-05-19,56.75,52.33333333333334,53.77777777777778,53.5,57.5,52.0,54.52626577491341
2016-05-20,59.0,56.111111111111114,55.0,56.5,58.0,56.28571428571429,56.466793233569796
2016-05-21,58.75,61.111111111111114,58.0,58.5,61.0,57.14285714285714,58.685685801710854
2016-05-22,56.5,63.33333333333334,58.33333333333334,59.0,59.5,57.714285714285715,58.46407152972259
2016-05-23,62.75,62.22222222222222,56.444444444444436,59.5,59.5,61.85714285714285,59.20743350221755
2016-05-24,63.0,62.77777777777778,61.111111111111114,62.5,62.5,62.714285714285715,62.00938751943729
2016-05-25,62.25,61.444444444444436,56.111111111111114,57.0,58.5,60.42857142857143,58.50176495238619
2016-05-26,68.5,66.33333333333333,66.22222222222223,68.5,68.5,66.85714285714286,67.1771915831065
2016-05-27,73.25,62.88888888888889,70.1111111111111,70.0,72.0,67.14285714285714,70.21084934523296
2016-05-28,72.0,56.444444444444436,67.22222222222223,70.5,67.5,75.0,68.04073515140279
2016-05-29,76.25,65.77777777777777,74.77777777777777,75.5,72.5,76.14285714285714,74.2773963252701
2016-05-30,75.5,55.111111111111114,64.33333333333333,58.5,69.0,70.71428571428571,66.24706256332225
2016-05-31,71.75,61.555555555555564,64.33333333333333,65.0,64.5,72.57142857142857,66.28227339535721
2016-06-01,73.5,69.66666666666667,71.1111111111111,71.0,72.0,69.28571428571429,71.53057599495729
2016-06-02,69.5,62.33333333333334,64.1111111111111,63.5,68.5,66.42857142857143,65.598998245442
2016-06-03,65.5,58.0,60.22222222222222,60.5,62.5,68.71428571428571,61.833484860381176
2016-06-04,64.5,57.22222222222222,62.88888888888889,63.0,63.0,70.28571428571429,63.09173044146325
2016-06-05,72.75,65.66666666666667,68.1111111111111,70.5,70.5,67.0,69.3464505505972
2016-06-06,66.25,58.444444444444436,63.0,60.0,64.0,61.14285714285714,63.086556829787106
2016-06-07,73.5,64.0,70.77777777777777,68.0,72.0,66.42857142857143,70.46782125638735
2016-06-08,72.5,62.77777777777778,68.66666666666667,66.0,72.0,63.42857142857143,68.82751555714955
2016-06-09,62.25,58.33333333333334,62.555555555555564,61.0,64.0,56.28571428571429,61.79690704724045
2016-06-10,62.25,52.111111111111114,59.33333333333334,56.0,60.5,51.85714285714285,58.84354400201432
2016-06-11,62.75,55.444444444444436,60.111111111111114,59.0,64.0,56.714285714285715,60.355284709859006
2016-06-12,61.0,57.77777777777778,59.33333333333334,54.5,60.5,52.28571428571429,58.93707340909573
2016-06-13,68.75,56.66666666666666,66.1111111111111,60.5,68.0,56.66666666666666,65.11356445012504
2016-06-14,64.0,55.0,61.66666666666666,59.5,63.0,56.83333333333334,61.31692639723613
2016-06-15,65.75,58.66666666666666,64.0,63.0,67.0,61.28571428571429,63.94576036186319
2016-06-16,68.5,59.88888888888889,68.44444444444444,68.5,70.5,64.71428571428571,67.67807032589549
2016-06-17,70.0,60.555555555555564,68.66666666666667,67.0,70.5,65.57142857142857,68.100501701293
2016-06-18,68.5,59.88888888888889,65.0,65.0,68.0,63.14285714285714,65.51379599378093
2016-06-19,68.5,62.22222222222222,64.8888888888889,64.5,69.5,66.42857142857143,65.87284442432167
2016-06-20,68.5,68.0,66.22222222222223,68.0,64.5,70.28571428571429,67.14098053371427
2016-06-21,70.5,70.75,68.8888888888889,73.0,67.5,73.33333333333333,69.90859989389516
